Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Notes,Image links
C-878,1995,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 3/20/2004,
C-879,,,,,,,,,,,,
C-880,1995,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 11/13/2007,
C-881,1995,Ford E-350/McCoy Miller,,,5 - 6 - 5 Special Operations,,,,,,Repainted black over red; still in service 11/10/2013; became G-577 sometime in 2012 or 2013,5-6-5 (Gordon J. Nord)
C-882,1995,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,One of these 1995 ambulance became Air Mask 6 - 4 - 9,
C-883,,,,,,,,,,,,
C-884,,,,,,,,,,,,
C-885,,,,,,,,,,,,
C-886,,,,,,,,,,,,
C-887,,,,,,,,,,,,
C-888,,,,,,,,,,,,
C-889,1995,Ford E-350/McCoy Miller,,,6 - 8 - 7A Scuba Team reserve unit (? - at least 9/18/2005),2 - 8 - 3A Engineer Training,,,,,Repainted black over red; Sold at auction 1/21/2010,6-8-7A (chicagofd.org) 2-8-7A (Hank Sajovic)
C-890,,,,,,,,,,,,
C-891,,,,,,,,,,,,
C-892,,,,,,,,,,,,
C-893,1995,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Spare by 11/2001,Spare ambulance (Tim Vermande)
C-894,1995,Ford E-350/McCoy Miller,,,Ambulance 89,,,,,,Sold at auction 7/17/2004,
C-895,1995,Ford E-350/McCoy Miller,,,Support Services 6 - 4 - 11,,,,,,Seen 3/2003; repainted black over red,6-4-11 (Bill Friedrich)
C-896,1996,Ford E-350/McCoy Miller,,,Air Mask 6 - 4 - 6,,,,,,,
C-897,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 2/27/2007,
C-898,1996,Ford E-350/McCoy Miller,,,Driver Training,,,,,,Used at least until 3/23/2006,Driver Training (Karl Klotz)
C-899,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 3/20/2004,
C-900,,,,,,,,,,,,
C-901,1996,Ford E-350/McCoy Miller,,,,,,,,,Repainted white over red; Sold at auction 3/5/2009,
C-902,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 11/12/2005,
C-903,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 3/20/2004,
C-904,1996,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Spare by 11/2001; Sold at auction 10/16/2007,Spare ambulance (Tim Vermande)
C-905,,,,,,,,,,,,
C-906,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 4/29/2008,
C-907,,,,,,,,,,,,
C-908,1996,Ford E-350/McCoy Miller,,,7 - 7 - 3 EMS Supply,,,,,,Repainted white over red; Sold at auction 10/30/2004,
C-909,,,,,,,,,,,,
C-910,,,,,,,,,,,,
C-911,,,,,,,,,,,,
C-912,,,,,,,,,,,,
C-913,,,,,,,,,,,,
C-914,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 2/27/2007,
C-915,1996,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Sold at auction 4/30/2005,
C-916,,,,,,,,,,,,
C-917,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 3/4/2006,
C-918,1996,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Sold at auction 4/24/2004,
C-919,,,,,,,,,,,,
C-920,,,,,,,,,,,,
C-921,1996,Ford E-350/McCoy Miller,,,,,,,,,Sold at auction 11/12/2005,
C-922,,,,,,,,,,,Code 3 Collectibles replica models of Ambulances 3 and 6,
C-923,,,,,,,,,,,,
C-924,1996,Ford E-350/McCoy Miller,,,,,,,,,Repainted white over red; Sold at auction 10/30/2004,
C-925,,,,,,,,,,,,
C-926,,,,,,,,,,,,
C-927,,,,,,,,,,,,
C-928,1998,Ford E-350/McCoy Miller,,Ambulance 28,,,,,,,"One of these became 8 - 8 - 3, another 8 - 8 - 4 (pre-1996 model)",
C-929,,,,,,,,,,,"One of these became Chicago Police 6831, a marine unit dive truck, with blue and white strobes",
C-930,,,,,,,,,,,,
C-931,,,,,,,,,,,,
C-932,,,,,,,,,,,,
C-933,1998,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Destroyed in rollover crash; sold at auction 4/30/2005,
C-934,1998,Ford E-350/McCoy Miller,,Ambulance 50,,,,,,,Sold at auction 3/20/2004,
C-935,,,,,,,,,,,,
