Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
E-173,1968,Seagrave 100’ rear-mount aerial “Rear Admiral”,60_/_250,Truck Co. 63 (1968 - 1988),,,,,,,,,Assigned to O’Hare airport; had four-wheel steering; still in service October 1985,Truck 63 (Bill Friedrich) Truck 63 (Steve Redick)
E-174,1969,Seagrave 100’ rear mount aerial,,Truck Co. 3 (1/15/1970 - 2/28/1973),Truck Co. 23 (3/28/1973 - 4/8/1982),Spare truck,,,,,,,Still in service as spare 1/26/1986,Truck 23 (Bill Friedrich) Spare truck (John Tulipano)
E-175,1969,Seagrave 100’ rear mount aerial,,Truck Co. 30 (2/24/1970 - 3/29/1982),,,,,,,,,,Truck 30 (Bill Friedrich)
E-176,1970,Seagrave 100’ rear mount aerial,100_/_300,Truck Co. 48 (3/16/1970 - 3/24/1982),Truck Co. 7 (7/18/1991 - 4/16/1996),Truck Co. 4 (5/1996 - 1/11/2001),Truck Co. 44 (1/10/2002 - 1/15/2002),,,,,,"Rebuilt 1991; One of eight with booster tank, pump, two 250’ 3/4” booster hose reels",Truck 48 (Bill Friedrich) Truck 48 (Bill Friedrich) Truck 7 (Bill Friedrich) Truck 4 (Smith Bros) Truck 4 (columind99)
E-177,1970,Seagrave 100’ rear mount aerial,100_/_300,Truck Co.  26 (4/13/1970 - 3/24/1982),Spare truck,,,,,,,,Used until at least early 1990s,
E-178,1970,Seagrave 100’ rear mount aerial,100_/_300,Truck Co. 11 (4/24/1970 - 10/15/1982),Truck Co. 24 (6/21/1991 - 4/29/2000),,,,,,,,Rebuilt in 1991; White stripe later added; was unit involved in 4/29/2000 wreck that killed CFD lieutenant; sold at auction 3/4/2006,Truck 11 (Bill Friedrich) Truck 11 (Bill Friedrich) Truck 24 (columind99) Truck 24 (Bill Friedrich) Truck 24 (columind99)
E-179,1970,Seagrave 100’ rear mount aerial,100_/_300,Truck Co. 20 (5/27/1970 - 11/25/1980),Truck Co. 37 (12/19/1980 - 1/7/1981),Spare truck,Truck Co. 13 (7/22/1991 - 7/31/2000),,,,,,Rebuilt by Seagrave in 1991,Truck 20 (columind99) Spare truck (Bill Friedrich) Truck 13 (Bill Friedrich) 
E-180,1970,Seagrave 100’ rear mount aerial,100_/_300,Truck Co. 51 (5/22/1970 - 12/7/1982),,,,,,,,,"Had two reels of one inch booster hose, but Local 2 union dispute resulted in disabling booster & removing hose reels in 1973",Truck 51 (Bill Friedrich) Truck 51 (Bill Friedrich)
E-181,1970,Seagrave 100’ rear mount aerial,100_/_300,Truck Co. 28 (10/1/1970 - 3/13/1975),Truck Co. 27 (3/21/1975 - 6/14/1975),Truck Co. 49 (6/14/1975 - 12/14/1982),,,,,,,,Truck 49 (Bill Friedrich)
E-182,1970,Seagrave 100’ rear mount aerial,100_/_300,Truck Co. 10 (9/10/1970 - 12/9/1980),Spare truck,Truck Co. 55 (4/18/1990 - 7/28/2000),,,,,,,,Truck 10 (Bill Friedrich) Truck 10 (chicagofd.org) Truck 55 (Bill Friedrich) Truck 55 (Smith Bros) Spare truck (Bill Friedrich)
E-183,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 12 (9/3/1970 - 7/19/1971),,,,,,,,,Booster reel subsequently removed; obviously at Truck 12 longer than dates listed,Truck 12 (Bill Friedrich) Truck 12 (firemann57)
E-184,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 34 (9/3/1970 - 4/26/1981),,,,,,,,,,Truck 34 (Bill Friedrich)
E-185,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 21 (9/11/1970 - 3/22/1974),Truck Co. 39 (4/1/1974 - 5/12/1983),Spare truck,,,,,,,,Truck 39 (Bill Friedrich) Truck 39 (Bill Friedrich) Spare truck (Bill Friedrich)
E-186,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 18 (9/17/1970 - 7/7/1982),,,,,,,,,Booster reel subsequently removed,Truck 18 (Bill Friedrich)
E-187,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 7 (9/11/1970 - 4/24/1974),Truck Co. 61 (2/21/1974 - 5/12/1983),,,,,,,,Accurate start date at Truck 61 probably 5/10/1974,Truck 61 (Bill Friedrich) Truck 61 (Bill Friedrich) Truck 61 (firemann57)
E-188,1972,Mack CF/Pirsch 100’ rear mount,,Truck Co. 5 (10/27/1972 - 11/4/1988),Truck Co. 22 (2/14/1991 - 2/5/1993),,,,,,,,Possibly used as Truck Co. 46 in Backdraft; Code 3 Collectibles model replica (as T46),Truck 5 (Midwest Fire Depts) Truck 5 (Bill Friedrich)
E-189,1972,Mack CF/Pirsch 100’ rear mount,,Truck Co. 22 (1/30/1973 - 2/14/1991),Spare truck,,,,,,,,"Found in junkyard, early 2015 (minus aerial ladder and doors)",Truck 22 (Bill Friedrich) Truck 22 (Bill Friedrich) Remains of E-189 (Kyle Svoboda)
E-190,1972,Mack CF/Pirsch 100’ rear mount,,Truck Co. 15 (1/19/1973 - 12/21/1992),,,,,,,,,Electronic siren replaced Mars 888 on front grille; modern typeface added; Code 3 Collectibles model replica (of original markings),Truck 15 (Bill Friedrich) Truck 15 (Bill Friedrich)
E-191,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 3 (2/28/1973 - 1/30/1974),Truck Co. 2 (1/20/1975 - 5/5/1975),Truck Co. 9 (3/13/1974 - 8/27/1991),Spare truck,,,,,,Found in junkyard early 2015 with heavy accident damage to front,E-191 in junkyard (Kyle Svoboda)
